onset	duration	trial_type	direction	speedDegVA	target	event	block	keyName
230.555436	1.200979	motion	0	15	0	9	10	n/a
231.873178	1.200989	motion	180	15	0	10	10	n/a
233.190926	1.200947	motion	0	15	0	11	10	n/a
234.508668	1.200995	motion	180	15	0	12	10	n/a
243.849572	1.201068	static	-1	15	0	1	11	n/a
245.167411	1.200974	static	-1	15	0	2	11	n/a
246.485136	1.200968	static	-1	15	0	3	11	n/a
247.802903	1.200972	static	-1	15	1	4	11	n/a
248.301263	0	response	n/a	n/a	n/a	n/a	n/a	c
249.120638	1.200871	static	-1	15	0	5	11	n/a
250.438368	1.200999	static	-1	15	0	6	11	n/a
251.756139	1.200945	static	-1	15	0	7	11	n/a
253.073877	1.200967	static	-1	15	0	8	11	n/a
254.391634	1.20094	static	-1	15	0	9	11	n/a
255.709366	1.200985	static	-1	15	0	10	11	n/a
257.027108	1.200991	static	-1	15	0	11	11	n/a
258.344862	1.200977	static	-1	15	0	12	11	n/a
267.685584	1.201128	motion	180	15	0	1	12	n/a
269.003599	1.200989	motion	0	15	0	2	12	n/a
270.321334	1.200982	motion	180	15	0	3	12	n/a
271.63908	1.20105	motion	0	15	0	4	12	n/a
272.956827	1.200975	motion	180	15	1	5	12	n/a
273.437262	0	response	n/a	n/a	n/a	n/a	n/a	c
274.274588	1.200959	motion	0	15	0	6	12	n/a
275.592319	1.200975	motion	180	15	0	7	12	n/a
276.910056	1.200971	motion	0	15	0	8	12	n/a
278.227807	1.200977	motion	180	15	0	9	12	n/a
279.545548	1.200973	motion	0	15	0	10	12	n/a
280.863289	1.201	motion	180	15	0	11	12	n/a
282.181026	1.200872	motion	0	15	0	12	12	n/a
